MD,Inc,Azim,TVD,NS,EW
0.0,0.0,93.485394913428,0.0,0.0,0.0
36.000001918654,0.032400001727,120.06,36.000000000002,-0.01,0.01
100.0,0.09,120.06,99.999958876653,-0.04,0.07
200.0,0.02,247.27,199.999921248935,-0.09,0.12
300.0,0.08,254.25,299.999878662704,-0.11,0.04
400.0,0.19,253.21,399.99958573517,-0.18,-0.19
502.54,0.85,99.13,502.536392741706,-0.35,0.4
589.41,1.71,124.59,589.384522929826,-1.19,2.1
682.35,2.08,126.75,682.273545063137,-2.98,4.6
774.31,2.85,107.45,774.149314413659,-4.67,8.11
895.53,5.66,88.56,895.028407336362,-5.42,16.97
986.94,8.01,84.99,985.782797895917,-4.75,27.82
1077.04,10.55,86.17,1074.69637411581,-3.65,42.3
1168.34,12.57,91.23,1164.14207262573,-3.31,60.58
1258.51,14.71,93.81,1251.7646974469,-4.28,81.81
1357.35,16.22,95.7,1347.0239048719,-6.48,108.07
1415.58,16.94,95.48,1402.83247028825,-8.1,124.61
1508.75,18.74,95.87,1491.51884514178,-10.93,153.01
1602.15,20.95,96.15,1579.36680741936,-14.25,184.54
1697.08,21.45,95.78,1667.87206524912,-17.82,218.69
1791.2,22.5,94.81,1755.15305592042,-21.06,253.75
1883.7,24.82,95.39,1839.87211018804,-24.37,290.72
1976.37,27.56,94.69,1923.02046027047,-27.95,331.46
2071.23,28.45,93.28,2006.77307194187,-31.04,375.89
2163.22,28.49,93.23,2087.63842933479,-33.53,419.67
2257.55,29.81,95.39,2170.02178934036,-37.0,465.48
2351.34,31.52,94.84,2250.69373632739,-41.26,513.13
2444.36,30.56,95.17,2330.39309882289,-45.44,560.91
2537.38,31.92,92.91,2409.92632740661,-48.82,609.02
2630.53,31.41,93.76,2489.20940684951,-51.66,657.84
2723.68,30.87,94.0,2568.93681177624,-54.92,705.9
2818.46,29.81,94.55,2650.73503175612,-58.48,753.64
2911.61,29.64,94.82,2731.62791915733,-62.26,799.67
3007.23,29.7,94.92,2814.7112604416,-66.27,846.83
3101.02,30.35,94.43,2895.91500197546,-70.1,893.61
3194.28,30.75,94.95,2976.2291803495,-73.97,940.85
3287.52,31.62,94.44,3055.99536124329,-77.92,988.97
3381.44,31.59,94.53,3135.98526357358,-81.77,1038.04
3474.74,31.31,95.04,3215.57916609784,-85.83,1086.55
3568.1,31.97,95.22,3295.0617997055,-90.21,1135.33
3661.88,33.47,93.02,3373.96156884581,-93.83,1185.88
3755.75,33.93,90.88,3452.05968726273,-95.6,1237.92
3849.2,33.11,92.51,3529.96924556725,-97.12,1289.5
3924.84,33.01,92.78,3593.36313854583,-99.02,1330.72
4065.58,32.36,92.82,3711.81663363084,-102.73,1406.63
4158.52,32.34,93.64,3790.33228292892,-105.54,1456.28
4252.42,32.17,94.03,3869.74181067455,-108.89,1506.29
4346.65,32.0,94.26,3949.57921681544,-112.51,1556.21
4440.25,32.14,94.55,4028.89588902192,-116.32,1605.76
4533.41,31.94,93.83,4107.86581792572,-119.93,1655.05
4626.38,31.67,94.14,4186.87604644314,-123.34,1703.93
4721.02,31.56,94.22,4267.47048931024,-126.96,1753.41
4814.51,33.1,90.89,4346.47182846222,-129.15,1803.34
4907.84,32.81,91.01,4424.7847760009,-129.99,1854.1
5000.95,32.47,90.97,4503.19036371963,-130.86,1904.31
5094.66,32.24,91.89,4582.35217984161,-132.11,1954.44
5188.05,32.09,92.15,4661.40856065147,-133.86,2004.13
5281.37,31.84,92.47,4740.5785976379,-135.85,2053.49
5371.51,31.7,93.02,4817.21292938115,-138.13,2100.9
5467.76,31.48,93.25,4899.2004277202,-140.88,2151.24
5561.58,31.5,92.5,4979.20399375236,-143.34,2200.19
5654.47,32.52,89.67,5057.97404692198,-144.26,2249.4
5748.09,32.28,89.83,5137.01998426655,-144.04,2299.57
5841.44,32.08,90.48,5216.02967568148,-144.17,2349.28
5935.07,32.13,90.75,5295.34139788931,-144.71,2399.04
6026.75,32.21,90.62,5372.94595980373,-145.29,2447.85
6113.0,31.816246517756,90.555966116198,5446.07949581931,-145.76,2493.57
6120.94,31.78,90.55,5452.82778073634,-145.8,2497.75
6214.85,30.02,92.98,5533.40867106696,-147.26,2545.95
6308.35,31.74,92.46,5613.65162751679,-149.53,2593.88
6400.95,31.66,92.39,5692.43673255554,-151.59,2642.5
6495.4,31.61,92.35,5772.85209281769,-153.64,2691.99
6592.52,32.09,92.62,5855.3487798149,-155.86,2743.19
6711.41,32.15,92.43,5956.04106712297,-158.64,2806.35
6773.45,32.11,92.7,6008.57926836809,-160.12,2839.31
6867.15,31.47,92.63,6088.22241888195,-162.42,2888.62
6960.0,31.8,93.41,6167.27575669462,-164.98,2937.25
7053.59,33.06,94.25,6246.26895398158,-168.34,2987.32
7086.0,32.741264342594,94.542334946777,6273.48082188198,-169.69,3004.88
7146.31,32.15,95.1,6324.37637547238,-172.41,3037.12
7239.84,32.33,94.96,6403.48598685814,-176.78,3086.82
7333.49,32.54,94.44,6482.52674082805,-180.9,3136.88
7338.0,32.54094467964,94.4290210658,6486.32872359886,-181.09,3139.3
7428.02,32.56,94.21,6562.20821096959,-184.74,3187.59
7521.0,32.370102023694,94.00011345636,6640.65719558003,-188.31,3237.38
7521.05,32.37,94.0,6640.69942597459,-188.31,3237.4
7614.57,32.43,93.99,6719.66097001713,-191.8,3287.39
7706.94,32.57,93.83,6797.56503310181,-195.19,3336.91
7801.89,32.71,93.56,6877.52017803462,-198.49,3388.01
7894.64,32.93,93.34,6955.46516774126,-201.51,3438.19
7989.59,33.26,93.51,7035.01099200543,-204.61,3489.94
8082.87,33.8,95.39,7112.77073417482,-208.61,3541.31
8174.89,33.63,94.93,7189.31388182871,-213.21,3592.18
8268.82,33.66,94.93,7267.50932389942,-217.68,3644.03
8360.67,33.55,94.63,7344.00874568722,-221.91,3694.69
8363.0,33.546288290159,94.634678979167,7345.95061836359,-222.02,3695.97
8454.92,33.4,94.82,7422.62517443492,-226.2,3746.49
8549.01,33.37,94.05,7501.18992415783,-230.2,3798.11
8642.13,32.28,94.49,7579.44040149836,-233.96,3848.45
8735.12,30.59,94.42,7658.77960621668,-237.72,3896.8
8827.12,29.2,94.51,7738.53615710213,-241.29,3942.51
8920.75,27.45,94.3,7820.9526926621,-244.71,3986.8
9013.32,25.99,93.9,7903.63538900574,-247.69,4028.32
9076.59,25.39,93.78,7960.65106343866,-249.52,4055.68
9085.0,25.312832260682,94.087873704525,7968.25117214043,-249.77,4059.28
9149.83,24.74,96.52,8026.99580133626,-252.3,4086.58
9247.37,26.34,93.2,8115.00634559713,-255.82,4128.47
9333.75,28.66,92.35,8191.62140629391,-257.74,4168.3
9427.54,30.87,92.21,8273.03254913519,-259.59,4214.83
9520.82,30.41,91.86,8353.28924546794,-261.28,4262.34
9622.38,30.57,91.35,8440.8054183943,-262.73,4313.84
9714.92,30.46,90.87,8520.52839005203,-263.64,4360.82
9799.44,29.59,92.94,8593.70770027914,-265.03,4403.09
9891.37,29.22,92.73,8673.79432985506,-267.26,4448.17
9989.29,28.89,92.09,8759.39157333534,-269.27,4495.68
10004.0,28.642429640499,92.048681689041,8772.28621115692,-269.52,4502.75
10018.0,28.406820454714,92.008745913443,8784.58676996422,-269.76,4509.43
10081.4,27.34,91.82,8840.63047409498,-270.75,4539.06
10176.76,24.75,91.13,8926.29952061647,-271.84,4580.91
10268.37,21.33,90.51,9010.58957094452,-272.37,4616.75
10288.0,21.018895132241,90.612200467183,9028.89422932113,-272.43,4623.84
10361.16,19.86,91.02,9097.44707255176,-272.8,4649.39
10453.71,18.96,91.46,9184.73611275219,-273.46,4680.14
10487.0,18.496786981356,91.334678461879,9216.26336524901,-273.72,4690.83
10534.0,17.842955391898,91.147064881002,9260.91952637119,-274.04,4705.48
10550.03,17.62,91.08,9276.18800060776,-274.13,4710.36
10635.0,17.007191428043,90.55129696927,9357.30769193985,-274.49,4735.64
10642.94,16.95,90.5,9364.90161812966,-274.52,4737.96
10729.0,15.928071514084,90.906585281458,9447.44253873594,-274.81,4762.31
10729.68,15.92,90.91,9448.09644461818,-274.82,4762.5
10761.0,15.379869156069,90.719660000191,9478.25523463676,-274.94,4770.95
10807.0,14.586892932091,90.415193746076,9522.6909264199,-275.05,4782.84
10825.97,14.26,90.28,9541.06299251265,-275.08,4787.57
10834.0,14.142610502838,90.236899997698,9548.84759245651,-275.09,4789.54
10921.09,12.87,89.72,9633.52734154093,-275.09,4809.88
10924.0,12.862200155863,89.703803573834,9636.36428049823,-275.08,4810.52
10953.0,12.784524403338,89.541334734094,9664.64098844297,-275.04,4816.96
11012.0,12.626806971355,89.204734438731,9722.19623346165,-274.9,4829.94
11014.55,12.62,89.19,9724.68459377969,-274.89,4830.49
11095.0,11.887360042553,88.852850859948,9803.3012143809,-274.6,4847.56
11108.99,11.76,88.79,9816.99438282498,-274.54,4850.43
11194.0,10.569736772334,87.583640252485,9900.39410487063,-274.03,4866.88
11201.14,10.47,87.47,9907.41409247673,-273.98,4868.18
11202.0,10.46861444425,87.47508384348,9908.25977553061,-273.97,4868.34
11240.0,10.407473156708,87.701053881227,9945.63092821194,-273.68,4875.22
11294.54,10.32,88.03,9999.28113642848,-273.31,4885.02
11386.0,10.17,88.59,10089.28291549,-272.83,4901.28
